"Story","Title","Result","Date","Stability","Duration (s)"
"Choosing all the items","User choosing all the items","FAILURE","2022-04-01T01:29:28.0242333+05:30[Asia/Calcutta]","0.0","64.19"
"Getting names and price of all the items","User getting names and price of all the items","SUCCESS","2022-04-01T01:29:27.8812315+05:30[Asia/Calcutta]","0.0","13.34"
