"Story","Title","Result","Date","Stability","Duration (s)"
"Adding items to cart from homepage","User adding all the items from homepage","SUCCESS","2022-04-23T02:25:23.2524298+05:30[Asia/Calcutta]","0.0","8.28"
"Adding items to cart from homepage","User adding individual item","SUCCESS","2022-04-23T02:25:31.5911877+05:30[Asia/Calcutta]","0.0","2.09"
